         4161579 function calls (4142587 primitive calls) in 1.701 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      523    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
      400    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:384(__init__)
     1405    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/grammar.py:22(__ne__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:1344(build)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:1312(validate)
      896    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/tree.py:59(meta)
  375/140    0.001    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:174(getwidth)
     4428    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       45    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:536(_compile_info)
       83    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:468(_vargs_inline)
      994    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:254(get)
       18    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:651(nr_deepcopy_tree)
       83    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:448(__call__)
     2502    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1537    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:164(__getitem__)
       25    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/copy.py:258(_reconstruct)
      813    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:157(__default__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:905(<listcomp>)
